,ClosePrice,YearBuilt,OriginalListPrice,PostalCode,PropertySubType,BedroomsTotal,BathroomsTotalInteger,Latitude,Longitude,LivingArea,StoriesTotal,LotSizeSquareFeet,CloseDate,CommonWalls,Single Family Residence,Condominium,Multi,Townhouse,AppliancesYN,CoolingYN,FireplaceYN,HeatingYN,LaundryYN,ParkingYN,PatioYN,PoolPrivateYN,ViewYN,Age,CloseMonth,CloseYear,WinterIsComing,BondDate,Bond10Year
40613,751000.0,1981.0,599000.0,90034,Condominium,2.0,3.0,34.02527,-118.39987,1202.0,3.0,8428.0,2017-06-15,0,0,1,0,0,1,1,1,1,1,1,1,0,1,39.0,6,2017,0,2017-05-16,2.33
40615,1399000.0,1948.0,1499000.0,90034,Single Family Residence,2.0,2.0,34.044139,-118.389775,1707.0,1.0,5134.0,2018-01-09,1,1,0,0,0,1,1,1,1,1,1,1,0,1,72.0,1,2018,1,2017-12-10,2.836564088841302
40616,1670000.0,1938.0,1220000.0,90034,Single Family Residence,2.0,2.0,34.033064,-118.4013,1606.0,1.0,13559.0,2017-09-01,1,1,0,0,0,0,0,1,0,0,1,1,0,1,82.0,9,2017,1,2017-08-02,2.27
40618,1650000.0,1967.0,1675000.0,90034,Single Family Residence,3.0,3.0,34.017889000000004,-118.417606,2227.0,2.0,3936.0,2017-06-22,1,1,0,0,0,1,1,1,1,1,1,1,0,1,53.0,6,2017,0,2017-05-23,2.29
40619,902000.0,1929.0,835000.0,90034,Single Family Residence,2.0,1.0,34.035953000000006,-118.385678,979.0,1.0,5365.0,2017-06-30,1,1,0,0,0,1,1,1,1,1,1,1,0,0,91.0,6,2017,0,2017-05-31,2.21
40620,4350000.0,2017.0,4650000.0,90034,Single Family Residence,6.0,7.0,34.046217,-118.398459,5700.0,1.0,10678.0,2017-08-16,1,1,0,0,0,1,0,1,1,1,1,0,0,1,3.0,8,2017,0,2017-07-17,2.31
40621,818000.0,1931.0,759000.0,90034,Single Family Residence,2.0,1.0,34.034005,-118.384351,1319.0,1.0,5010.0,2017-06-29,1,1,0,0,0,1,0,1,1,1,1,0,0,1,89.0,6,2017,0,2017-05-30,2.21
40622,890000.0,1939.0,,90034,Single Family Residence,3.0,1.0,34.023035,-118.416989,976.0,1.0,7294.0,2016-10-24,0,1,0,0,0,1,1,0,1,1,1,0,0,0,81.0,10,2016,1,2016-09-24,1.7957298013245218
40624,2300000.0,1951.0,2300000.0,90034,Single Family Residence,5.0,5.0,34.040265999999995,-118.398383,2816.0,2.0,7933.0,2017-05-08,1,1,0,0,0,0,1,1,1,1,1,0,1,0,69.0,5,2017,0,2017-04-08,2.296688541140846
40625,885000.0,1948.0,865000.0,90034,Single Family Residence,2.0,1.0,34.019693,-118.414371,1008.0,1.0,4661.0,2017-06-29,1,1,0,0,0,1,1,0,1,1,1,0,0,0,72.0,6,2017,0,2017-05-30,2.21
